╧ invoice;Year of sale;Month of Sale;Date of sale;Product ID;Quantity;Price;Sum;Customer;Purchase cost;Shipping date
000-070326;2019;9;1;уб.нд-3268;1;593.540136;593.540136;Customer 943;386.88;03.09.2019
000-070326;2019;9;1;уб.нд-3445;1;1272.0636;1272.0636;Customer 943;483.21;03.09.2019
000-070360;2018;9;29;уб.нд-3128;1;535.94112;535.94112;;202.4;01.10.2018
000-070367;2017;6;15;уб.нд-3439;1;1623.683;1623.683;;977.91;15.06.2017
000-070367;2017;6;15;уб.нд-3353;1;235.296;235.296;;136.8;15.06.2017
000-070412;2018;3;25;уб.нд-3222;1;294.6944;294.6944;Customer 140;193.2;25.03.2018
000-070416;2019;3;16;уб.нд-3150;1;285.648;285.648;;186.45;20.03.2019
000-070419;2018;1;20;уб.нд-3153;1;466.78108;466.78108;Customer 579;196.73;22.01.2018
000-070443;2019;7;26;уб.нд-3257;1;878.712;878.712;;747.3;26.07.2019
000-070445;2019;1;13;уб.нд-3213;1;315.84555;315.84555;;186.03;13.01.2019
000-070448;2017;10;4;уб.нд-3261;2;2318.4954;4636.9908;;2464.02;08.10.2017
000-070448;2017;10;4;уб.нд-3134;1;374.5364;374.5364;;187.15;08.10.2017
000-070502;2018;7;31;уб.нд-3268;2;665.4708;1330.9416;;810.96;05.08.2018
000-070508;2017;3;25;уб.нд-3331;1;269.9648;269.9648;Customer 622;127.07;25.03.2017
000-070526;2017;9;4;уб.нд-3344;1;1366.1472;1366.1472;;738.17;04.09.2017
000-070535;2019;4;23;уб.нд-3435;1;510.2508;510.2508;;293.82;23.04.2019
000-070559;2018;4;24;уб.нд-3386;1;585.653922;585.653922;Customer 372;359.87;24.04.2018
000-070559;2018;4;24;уб.нд-3173;1;2312.24832;2312.24832;Customer 372;1030.56;24.04.2018
000-070559;2018;4;24;уб.нд-3216;2;549.475308;1098.950616;Customer 372;571.16;24.04.2018
000-070564;2018;2;4;уб.нд-3155;1;420.79672;420.79672;;274.32;06.02.2018
000-070564;2018;2;4;уб.нд-3270;1;1247.0232;1247.0232;;810.16;06.02.2018
000-070564;2018;2;4;уб.нд-3341;1;408.672;408.672;;242.52;06.02.2018
000-070564;2018;2;4;уб.нд-3276;1;589.372;589.372;;359.6;06.02.2018
000-070564;2018;2;4;уб.нд-3417;1;318.103296;318.103296;;170.64;06.02.2018
000-070578;2019;1;11;уб.нд-3366;1;3006.8172;3006.8172;;1717;11.01.2019
000-070578;2019;1;11;уб.нд-3334;1;653.14656;653.14656;;400.67;11.01.2019
000-070601;2018;12;1;уб.нд-3242;2;685.4544;1370.9088;;819.18;01.12.2018
000-070622;2018;3;24;уб.нд-3298;1;239.46336;239.46336;Customer 1252;157.68;24.03.2018
000-070622;2018;3;24;уб.нд-3151;1;499.63536;499.63536;Customer 1252;294.84;24.03.2018
000-070622;2018;3;24;уб.нд-3241;1;579.672;579.672;Customer 1252;380.24;24.03.2018
000-070622;2018;3;24;уб.нд-3368;1;2081.04368;2081.04368;Customer 1252;1133.14;24.03.2018
000-070622;2018;3;24;уб.нд-3211;1;4084.3692;4084.3692;Customer 1252;1579.14;24.03.2018
000-070636;2018;6;4;уб.нд-3241;1;691.416;691.416;;403.52;04.06.2018
000-070642;2019;2;8;уб.нд-3306;1;322.821044;322.821044;;202.95;08.02.2019
000-070642;2019;2;8;уб.нд-3138;1;98.1902592;98.1902592;;57.6;08.02.2019
000-070642;2019;2;8;уб.нд-3197;2;1745.126127;3490.252254;;1706.94;08.02.2019
000-070642;2019;2;8;уб.нд-3153;2;353.35764;706.71528;;355.26;08.02.2019
000-070642;2019;2;8;уб.нд-3344;1;1288.4010048;1288.4010048;;692.51;08.02.2019
000-070660;2017;1;23;уб.нд-3187;1;1313.95488;1313.95488;;877.4;23.01.2017
000-070660;2017;1;23;уб.нд-3160;1;433.35;433.35;;232.5;23.01.2017
000-070660;2017;1;23;уб.нд-3175;2;2830.98864;5661.97728;;2857.8;23.01.2017
000-070660;2017;1;23;уб.нд-3111;1;1532.88808;1532.88808;;866.21;23.01.2017
000-070677;2017;11;22;уб.нд-3316;1;381.2916672;381.2916672;;218.04;24.11.2017
000-070679;2019;8;16;уб.нд-3144;1;474.0541824;474.0541824;;254.19;17.08.2019
000-070679;2019;8;16;уб.нд-3251;1;696.2031;696.2031;;299.97;17.08.2019
000-070682;2017;9;27;уб.нд-3328;1;416.57616;416.57616;;252.28;28.09.2017
000-070682;2017;9;27;уб.нд-3391;1;438.0662;438.0662;;227.63;28.09.2017
000-070682;2017;9;27;уб.нд-3274;1;1582.0602;1582.0602;;930.18;28.09.2017
000-070682;2017;9;27;уб.нд-3215;2;363.1584;726.3168;;347.52;28.09.2017
000-070688;2018;2;9;уб.нд-3169;1;2002.03168;2002.03168;;946.37;12.02.2018
000-070708;2019;1;6;уб.нд-3325;1;634.85344;634.85344;;446.94;06.01.2019
000-070711;2018;6;17;уб.нд-3221;1;367.5555;367.5555;;175.68;17.06.2018
000-070711;2018;6;17;уб.нд-3120;1;7691.28768;7691.28768;;3412.92;17.06.2018
000-070711;2018;6;17;уб.нд-3335;1;243.82208;243.82208;;167.44;17.06.2018
000-070721;2018;3;7;уб.нд-3371;1;408.969;408.969;;274.59;11.03.2018
000-070727;2018;1;13;уб.нд-3229;1;364.6962;364.6962;;190.71;13.01.2018
000-070727;2018;1;13;уб.нд-3166;2;577.03968;1154.07936;;445.9;13.01.2018
000-070746;2017;1;14;уб.нд-3229;1;300.1482;300.1482;;185.82;14.01.2017
000-070746;2017;1;14;уб.нд-3108;2;2916.4083168;5832.8166336;;4000.44;14.01.2017
000-070746;2017;1;14;уб.нд-3262;1;402.743;402.743;;239.85;14.01.2017
000-070762;2019;6;3;уб.нд-3353;2;218.88;437.76;;364.8;03.06.2019
000-070762;2019;6;3;уб.нд-3405;1;266.593536;266.593536;;185.26;03.06.2019
000-070762;2019;6;3;уб.нд-3363;1;1969.11;1969.11;;1095.12;03.06.2019
000-070768;2018;10;20;уб.нд-3420;1;341.4402;341.4402;;193.14;20.10.2018
000-070768;2018;10;20;уб.нд-3179;1;750.38544;750.38544;;498.3;20.10.2018
000-070775;2019;1;3;уб.нд-3199;1;391.95;391.95;;214.5;03.01.2019
000-070775;2019;1;3;уб.нд-3135;1;784.884072;784.884072;;456.89;03.01.2019
000-070775;2019;1;3;уб.нд-3248;1;551.7072;551.7072;;258;03.01.2019
000-070775;2019;1;3;уб.нд-3373;1;2294.996;2294.996;;1297.91;03.01.2019
000-070775;2019;1;3;уб.нд-3250;1;267.6096;267.6096;;142.56;03.01.2019
000-070775;2019;1;3;уб.нд-3219;1;864.834404;864.834404;;576.81;03.01.2019
000-070775;2019;1;3;уб.нд-3248;1;567.0324;567.0324;;288.96;03.01.2019
000-070782;2018;12;15;уб.нд-3280;1;3570.4836;3570.4836;;2043.6;18.12.2018
000-070782;2018;12;15;уб.нд-3201;2;336.5488;673.0976;;292.94;18.12.2018
000-070782;2018;12;15;уб.нд-3168;1;826.1048;826.1048;;445.74;18.12.2018
000-070782;2018;12;15;уб.нд-3367;1;2283.093504;2283.093504;;1183.72;18.12.2018
000-070794;2019;2;25;уб.нд-3133;1;728.28756;728.28756;;350;28.02.2019
000-070794;2019;2;25;уб.нд-3159;1;934.78;934.78;;431.2;28.02.2019
000-070799;2018;7;29;уб.нд-3116;2;291.58848;583.17696;;259.44;29.07.2018
000-070817;2019;8;17;уб.нд-3151;2;468.73008;937.46016;;524.16;17.08.2019
000-070817;2019;8;17;уб.нд-3142;1;490.550912;490.550912;;306.94;17.08.2019
000-070817;2019;8;17;уб.нд-3330;1;547.884;547.884;;283.02;17.08.2019
000-070818;2017;12;19;уб.нд-3115;1;847.264;847.264;;338.64;24.12.2017
000-070822;2018;8;26;уб.нд-3132;2;247.75208;495.50416;Customer 645;197.76;26.08.2018
000-070822;2018;8;26;уб.нд-3245;1;126.6;126.6;Customer 645;75;26.08.2018
000-070830;2018;7;3;уб.нд-3128;1;499.224;499.224;;248.6;03.07.2018
000-070844;2019;7;22;уб.нд-3275;2;446.9;893.8;;446.9;22.07.2019
000-070859;2018;5;12;уб.нд-3397;1;463.269312;463.269312;;230.23;12.05.2018
000-070881;2017;4;27;уб.нд-3174;2;2160.27792;4320.55584;;2336.4;27.04.2017
000-070881;2017;4;27;уб.нд-3132;1;259.32928;259.32928;;97.85;27.04.2017
000-070881;2017;4;27;уб.нд-3224;1;99.225;99.225;;49.5;27.04.2017
000-070881;2017;4;27;уб.нд-3348;1;1496.16;1496.16;;976.66;27.04.2017
000-070904;2018;7;9;уб.нд-3339;1;787.31136;787.31136;;468.16;09.07.2018
000-070927;2017;3;26;уб.нд-3296;1;3345.9536;3345.9536;;1765.96;29.03.2017
000-070937;2017;4;30;уб.нд-3336;1;247.0832864;247.0832864;;145.95;30.04.2017
000-070937;2017;4;30;уб.нд-3197;1;1685.6424;1685.6424;;822.15;30.04.2017
000-070937;2017;4;30;уб.нд-3247;1;392.93856;392.93856;;197.1;30.04.2017
000-070945;2018;2;7;уб.нд-3126;1;5718.3588;5718.3588;;3153.29;07.02.2018
000-070947;2018;1;13;уб.нд-3447;1;868.2716;868.2716;;635.29;13.01.2018
000-070947;2018;1;13;уб.нд-3432;1;620.3232;620.3232;;399.84;13.01.2018
000-070954;2018;3;5;уб.нд-3207;1;5300.442;5300.442;;2931.12;07.03.2018
000-070954;2018;3;5;уб.нд-3251;1;595.8495;595.8495;;339.36;07.03.2018
000-070954;2018;3;5;уб.нд-3336;1;245.49624;245.49624;;133.44;07.03.2018
000-070997;2018;4;20;уб.нд-3230;1;541.236;541.236;Customer 1152;296.8;20.04.2018
000-070997;2018;4;20;уб.нд-3445;2;1069.434;2138.868;Customer 1152;1168.2;20.04.2018
000-070997;2018;4;20;уб.нд-3306;2;420.578;841.156;Customer 1152;479.7;20.04.2018
000-070997;2018;4;20;уб.нд-3319;1;326.407536;326.407536;Customer 1152;226.1;20.04.2018
000-070997;2018;4;20;уб.нд-3357;1;990.62656;990.62656;Customer 1152;644;20.04.2018
000-071009;2019;8;24;уб.нд-3201;1;276.661143;276.661143;Customer 778;137.41;24.08.2019
000-071009;2019;8;24;уб.нд-3158;1;280.553152;280.553152;Customer 778;129.27;24.08.2019
000-071011;2019;5;19;уб.нд-3387;1;388.8;388.8;;184;19.05.2019
000-071013;2017;4;29;уб.нд-3298;1;159.7831008;159.7831008;;157.68;29.04.2017
000-071019;2018;2;16;уб.нд-3294;1;3238.178944;3238.178944;Customer 370;2032;16.02.2018
000-071019;2018;2;16;уб.нд-3334;1;523.7496;523.7496;Customer 370;381.22;16.02.2018
000-071019;2018;2;16;уб.нд-3196;1;1235.608;1235.608;Customer 370;702.05;16.02.2018
000-071019;2018;2;16;уб.нд-3236;1;819;819;Customer 370;360;16.02.2018
000-071019;2018;2;16;уб.нд-3416;1;301.476;301.476;Customer 370;133;16.02.2018
000-071021;2018;11;29;уб.нд-3411;1;554.59404;554.59404;;345.8;04.12.2018
000-071036;2017;5;15;уб.нд-3329;1;486.096;486.096;;378.3;15.05.2017
000-071044;2017;1;2;уб.нд-3379;1;3592.2068;3592.2068;;2163.98;03.01.2017
000-071044;2017;1;2;уб.нд-3305;1;243.3536;243.3536;;144.2;03.01.2017
000-071044;2017;1;2;уб.нд-3135;1;788.20784;788.20784;;495.32;03.01.2017
000-071046;2018;7;19;уб.нд-3172;1;2431.22024;2431.22024;;986.86;23.07.2018
000-071046;2018;7;19;уб.нд-3364;1;1075.5472;1075.5472;;825.92;23.07.2018
000-071046;2018;7;19;уб.нд-3216;1;605.613;605.613;;254.14;23.07.2018
000-071046;2018;7;19;уб.нд-3403;1;587.412;587.412;;232.75;23.07.2018
000-071046;2018;7;19;уб.нд-3223;2;64.077;128.154;;73.78;23.07.2018
000-071046;2018;7;19;уб.нд-3162;2;488.376;976.752;;349.6;23.07.2018
000-071046;2018;7;19;уб.нд-3347;1;884.0284;884.0284;;568.86;23.07.2018
000-071053;2018;3;6;уб.нд-3270;1;1275.6904;1275.6904;Customer 778;888.06;08.03.2018
000-071065;2017;6;29;уб.нд-3421;1;547.550892;547.550892;;342.38;29.06.2017
000-071065;2017;6;29;уб.нд-3211;2;3553.401204;7106.802408;;3328.08;29.06.2017
000-071065;2017;6;29;уб.нд-3220;1;642.099528;642.099528;;372.78;29.06.2017
000-071065;2017;6;29;уб.нд-3247;1;395.514;395.514;;197.1;29.06.2017
000-071065;2017;6;29;уб.нд-3243;1;844.9896;844.9896;;404.04;29.06.2017
000-071065;2017;6;29;уб.нд-3302;1;396.2992;396.2992;;227.7;29.06.2017
000-071079;2018;10;18;уб.нд-3124;1;3375.35704;3375.35704;;1702.58;18.10.2018
000-071085;2018;3;9;уб.нд-3345;1;443.65344;443.65344;Customer 733;331.11;09.03.2018
000-071085;2018;3;9;уб.нд-3305;1;265.9328;265.9328;Customer 733;142.8;09.03.2018
000-071094;2019;1;24;уб.нд-3385;1;415.690872;415.690872;;219.48;25.01.2019
000-071108;2018;7;31;уб.нд-3133;1;719.992;719.992;;416.5;02.08.2018
000-071108;2018;7;31;уб.нд-3358;1;469.9728;469.9728;;266.64;02.08.2018
000-071108;2018;7;31;уб.нд-3124;1;3716.68528;3716.68528;;1843.16;02.08.2018
000-071108;2018;7;31;уб.нд-3156;1;524.4483;524.4483;;244.8;02.08.2018
000-071108;2018;7;31;уб.нд-3334;1;566.88192;566.88192;;385.11;02.08.2018
000-071113;2018;2;7;уб.нд-3315;1;334.548864;334.548864;;225.9;07.02.2018
000-071124;2018;7;28;уб.нд-3164;1;551.264;551.264;;225.4;28.07.2018
000-071124;2018;7;28;уб.нд-3204;2;5213.4616;10426.9232;;5998;28.07.2018
000-071139;2017;9;6;уб.нд-3154;2;266.60496;533.20992;;233.7;08.09.2017
000-071146;2018;12;20;уб.нд-3333;1;333.6704;333.6704;;202;25.12.2018
000-071149;2018;7;16;уб.нд-3226;1;284.376;284.376;Customer 1011;146.88;16.07.2018
000-071150;2017;6;10;уб.нд-3344;1;1229.53248;1229.53248;;844.71;10.06.2017
000-071171;2018;5;16;уб.нд-3246;1;175.9401;175.9401;;107;16.05.2018
000-071171;2018;5;16;уб.нд-3409;2;698.29812;1396.59624;;754.56;16.05.2018
000-071171;2018;5;16;уб.нд-3343;1;1712.2135072;1712.2135072;;1122.51;16.05.2018
000-071171;2018;5;16;уб.нд-3437;1;576.576;576.576;;279.72;16.05.2018
000-071184;2019;9;14;уб.нд-3179;1;741.45228;741.45228;;439.41;17.09.2019
000-071192;2019;9;10;уб.нд-3410;1;241.203;241.203;;113.22;10.09.2019
000-071192;2019;9;10;уб.нд-3246;1;199.8332;199.8332;;118.77;10.09.2019
000-071213;2018;12;19;уб.нд-3380;1;2750.22;2750.22;;1541.79;23.12.2018
000-071220;2017;9;22;уб.нд-3125;1;6317.8496;6317.8496;;3284.96;22.09.2017
000-071220;2017;9;22;уб.нд-3280;1;2906.9424;2906.9424;;2122.2;22.09.2017
000-071224;2018;11;5;уб.нд-3428;1;2201.2808;2201.2808;;1248.16;07.11.2018
000-071239;2017;6;2;уб.нд-3109;1;4299.03888;4299.03888;;1944.36;05.06.2017
000-071243;2018;7;28;уб.нд-3276;1;595.386;595.386;;365.8;02.08.2018
000-071243;2018;7;28;уб.нд-3306;1;362.0628;362.0628;;188.6;02.08.2018
000-071243;2018;7;28;уб.нд-3262;1;305.0564;305.0564;;215.25;02.08.2018
000-071282;2018;1;25;уб.нд-3111;2;1967.800512;3935.601024;;1857.44;29.01.2018
000-071282;2018;1;25;уб.нд-3172;1;2195.17944;2195.17944;;936.51;29.01.2018
000-071293;2019;7;23;уб.нд-3204;1;6039.986;6039.986;;2699.1;26.07.2019
000-071294;2018;6;14;уб.нд-3434;1;1616.9876;1616.9876;;994.12;17.06.2018
000-071344;2018;9;14;уб.нд-3202;1;6013.729855;6013.729855;;3593;19.09.2018
000-071351;2018;7;15;уб.нд-3199;1;272.7972;272.7972;;216.45;15.07.2018
000-071351;2018;7;15;уб.нд-3135;2;993.7116672;1987.4233344;;913.78;15.07.2018
000-071360;2018;5;26;уб.нд-3426;1;1721.4021;1721.4021;;895.07;26.05.2018
000-071360;2018;5;26;уб.нд-3218;1;302.325144;302.325144;;168.3;26.05.2018
000-071368;2019;1;18;уб.нд-3316;1;352.6696512;352.6696512;;237;18.01.2019
000-071368;2019;1;18;уб.нд-3422;1;382.1815;382.1815;;215.39;18.01.2019
000-071368;2019;1;18;уб.нд-3267;1;805.92;805.92;;414;18.01.2019
000-071368;2019;1;18;уб.нд-3267;2;805.92;1611.84;;1021.2;18.01.2019
000-071377;2018;6;20;уб.нд-3160;1;454.75;454.75;;232.5;23.06.2018
000-071388;2017;1;20;уб.нд-3439;2;1707.378;3414.756;;1603.42;24.01.2017
000-071388;2017;1;20;уб.нд-3360;1;495.816;495.816;;280.17;24.01.2017
000-071388;2017;1;20;уб.нд-3117;1;6358.5144;6358.5144;;2898.42;24.01.2017
000-071398;2018;12;4;уб.нд-3437;1;460.152;460.152;;249.48;06.12.2018
000-071412;2017;7;13;уб.нд-3149;1;530.8268;530.8268;;262.35;16.07.2017
000-071428;2019;5;3;уб.нд-3122;1;4758.73432;4758.73432;;2689.22;04.05.2019
000-071428;2019;5;3;уб.нд-3114;1;315.928;315.928;;193.2;04.05.2019
000-071428;2019;5;3;уб.нд-3229;1;290.466;290.466;;163;04.05.2019
000-071428;2019;5;3;уб.нд-3333;1;332.416;332.416;;190;04.05.2019
000-071436;2017;8;8;уб.нд-3138;1;98.50368;98.50368;;51.84;09.08.2017
000-071439;2019;7;19;уб.нд-3324;1;317.81568;317.81568;;152.88;19.07.2019
000-071455;2017;2;5;уб.нд-3216;1;558.2172;558.2172;;235.8;09.02.2017
000-071455;2017;2;5;уб.нд-3395;2;564.927;1129.854;;588.3;09.02.2017
000-071457;2019;7;23;уб.нд-3376;1;4993.0056;4993.0056;Customer 1021;3124.74;24.07.2019
000-071457;2019;7;23;уб.нд-3331;1;231.9115008;231.9115008;Customer 1021;140.17;24.07.2019
000-071459;2018;5;21;уб.нд-3135;1;759.7184;759.7184;;444.08;21.05.2018
000-071459;2018;5;21;уб.нд-3389;2;689.8416;1379.6832;;871.52;21.05.2018
000-071459;2018;5;21;уб.нд-3127;1;313.39968;313.39968;;113.74;21.05.2018
000-071459;2018;5;21;уб.нд-3226;1;289.8126;289.8126;;153.68;21.05.2018
000-071485;2018;5;9;уб.нд-3407;1;359.2512;359.2512;;218.4;09.05.2018
000-071485;2018;5;9;уб.нд-3345;1;443.65344;443.65344;;316.96;09.05.2018
000-071485;2018;5;9;уб.нд-3402;2;374.20614;748.41228;;472.34;09.05.2018
000-071485;2018;5;9;уб.нд-3290;1;5192.62048;5192.62048;;3522.07;09.05.2018
000-071496;2017;11;16;уб.нд-3147;1;489.8904;489.8904;;284.82;20.11.2017
000-071496;2017;11;16;уб.нд-3425;1;291.8763;291.8763;;189.21;20.11.2017
000-071496;2017;11;16;уб.нд-3329;2;530.4;1060.8;;819;20.11.2017
000-071506;2017;6;9;уб.нд-3251;1;497.879298;497.879298;;281.79;09.06.2017
000-071511;2019;5;18;уб.нд-3245;2;153.5025;307.005;;148.5;19.05.2019
000-071511;2019;5;18;уб.нд-3372;1;4524.468;4524.468;;2889.9;19.05.2019
000-071511;2019;5;18;уб.нд-3122;1;4758.73432;4758.73432;;2620.85;19.05.2019
000-071511;2019;5;18;уб.нд-3378;1;5507.208;5507.208;;3621.52;19.05.2019
000-071514;2019;2;19;уб.нд-3439;1;1791.073;1791.073;;907.43;20.02.2019
000-071553;2017;12;3;уб.нд-3400;1;231.762;231.762;Customer 138;112.35;03.12.2017
000-071553;2017;12;3;уб.нд-3267;1;832.31388;832.31388;Customer 138;533.6;03.12.2017
000-071569;2018;10;30;уб.нд-3185;1;832.422272;832.422272;;486.04;03.11.2018
000-071569;2018;10;30;уб.нд-3274;1;1639.523536;1639.523536;;838;03.11.2018
000-071570;2019;6;8;уб.нд-3418;1;400.608;400.608;;254.66;10.06.2019
000-071571;2017;2;26;уб.нд-3350;1;313.96352;313.96352;Customer 567;206.48;02.03.2017
000-071571;2017;2;26;уб.нд-3290;2;5402.928;10805.856;Customer 567;6971.52;02.03.2017
000-071575;2019;1;16;уб.нд-3150;1;301.89423;301.89423;;156.75;16.01.2019
000-071575;2019;1;16;уб.нд-3184;1;1831.1721792;1831.1721792;;849.72;16.01.2019
000-071575;2019;1;16;уб.нд-3120;1;7760.57856;7760.57856;;3097.44;16.01.2019
000-071575;2019;1;16;уб.нд-3114;1;353.096;353.096;;200.56;16.01.2019
000-071575;2019;1;16;уб.нд-3237;1;118.272;118.272;;67.2;16.01.2019
